gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
bambu,FALSE,生物、植物,@1は@2〈種類・属〉のタケ連である,竹、タケ,@1 is a bamboo (Bambuseae) of genus/species @2.,竹、タケ,竹の種類・品種・属,,,,,,,竹は、分類学的には従来、タケ連（Bambuseae）にまとめられていました。しかし、単系統ではないことが判明し、分割が提案されています。そのため、{bambu}も今後、変更される可能性があります。,,"spati, tricu",,,,2,DD,もの,もの,-,-,-
bancu,TRUE,,@1は@2〈境界・限度〉を@3〈照合点〉について @4〈性質・数量〉だけ越す［超える］,超える、越す、超過、超越,@1 exceeds/is beyond limit/boundary @2 from @3 in property/amount @4 (ka/ni).,超えるもの、越えるもの,越される境界・限度,,,,,-bac-,,境界の向こう側に位置します。境界にまたがっていたり {ragve} のように隣接しているとは限りません。また物理空間的な位置とは限りません。,,"dukse, ragve, zmadu, kuspe",,,"beyond, cu（出）",,,,,,ka/ni,
bandu,TRUE,,@1は@2〈物・状態〉を@3〈危険・脅威・可能性〉から保護・守護する；@1は@3にたいして防御する,保護、守護、防衛、守る、護る、堅守、庇護,@1 (event) defends/protects @2 (object/state) from threat/peril/potential @3 (event).,保護者、守るもの,被保護者、守られるもの,防御される危険・脅威・可能性,,,,-bad-,,,,"ckape, fanta, fapro, marbi, rivbi, zunti, snura, binra, lunbe, pulji",,,"bau（保）, defend, バンドーイルカ",,,,,,,
banfi,TRUE,生物、動物,@1は@2〈種類〉の両性綱［両生類］の動物である,両生類,@1 is an amphibian of species/breed @2.,両生類、両性綱、両生類動物,両生類の種,,,,,,,,,"danlu, respa",,,anfibio,2,DD,もの,もの,-,-,-
bangu,TRUE,,@1は@2〈使用者〉が@3《概念・命題・文字列》を表すのに用いる言語；@2〈使用者〉は@1語を話す,言語,"@1 is a/the language/dialect used by @2 to express/communicate @3 (si'o/du'u, not quote).",言語,話者,言語を使って表現されるもの,,,,-ban-   ,-bau-,@3について Jbovlaste の英語版には not quate（引用でない）と書かれていますが、日本語版では文字列も可になっています。,,"tance, cusku, ve, tavla, valsi, gerna, jufra, natmi, slaka",,,晩の愚行,,,,,si'o/du'u,,
banli,TRUE,,@1は@2《属性》に関して@3〈基準〉で偉大［壮大、尊大］,偉大、壮大、尊大,@1 is great/grand in property @2 (ka) by standard @3.,,,,,,,-bal-   ,-ba'i-,{barda}が客観的な大きさを表すの対して、{banli}は主観的な大きさを表します。,,,,,万事リーダー,,,,,,,
banro,TRUE,,@1は@2〈結果〉に@3〈始原〉から育つ［育成する、成長する］,育つ、育成、成長,@1 grows/expands [an increasing development] to size/into form @2 from @3.,,,,,,,-ba'o-,,,,"{farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}",,,晩のローズ,,,,,,,
banxa,TRUE,,@1は@2〈金融体系〉@3〈機能〉の銀行,銀行,@1 is a bank owned by/in banking system @2 for banking function(s) @3 (event).,銀行,経営者,,,,,-bax-,,@2は経営者として使用されることがあります。,,"{sorcu}, {zarci}, {canja}, {kagni}",,,晩に破産,,,,,,,
banzu,TRUE,,@1は@2〈目的〉《こと》に関して@3〈条件〉において足りる［十分、充分］,足りる、十分、充分,@1 (object) suffices/is enough/sufficient for purpose @2 under conditions @3.,足りる、十分、充分,,,,,,-baz-,,"「lo nanba na banzu lo nu lo remna cu jmive／人はパンのみにて生くるにあらず」 ・大意： 充分 ・読み方： バンズ  ・語呂合わせ： ＜晩の頭脳＞, basta,　zu（足） ・関連語： {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}",," {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}",,,晩の頭脳,,,,,,,
bapli,TRUE,,@1〈力〉《属性》は@2《こと》を引き起こす［もたらす］,引き起こす、もたらす、齎す,@1 [force] (ka) forces/compels event @2 to occur; @1 determines property @2 to manifest.,作用力、抑制力,,,,,,-bap-   ,-bai-,{danre}と違い、物理的とは限りません。,① .i le vi verba zo'u lo smadi bapli cu barda · この子は洞察力がある [jbovlaste:ja:bapli],,,,,,,,,,,
barda,TRUE,比較,@1は@2《属性》に関して@3〈比較対象〉の中で大きい,大きい,@1 is big/large in property/dimension(s) @2 (ka) as compared with standard/norm @3.,,,,,,,-bra-,,@3は群れや集合としても使用されます。,,"{banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}",,,バー大規模,,,,,,,
bargu,TRUE,,@1は@2に掛かる［を縁取る］@3〈素材〉の橋,橋、アーチ,@1 arches/curves over/around @2 and is made of @3; @1 is an arch over/around @2 of material @3.,アーチ,,,,,,-bag-,,,① .i lo bargu cripu cu ve klama · 太鼓橋を渡る [jbovlaste:ja:bargu],,,,バーぐらぐら,,,,,,,
barja,TRUE,,@1は@2〈品〉を@3〈客〉に提供する酒場［居酒屋、バー、パブ］,酒場、居酒屋、バー、パブ,@1 is a tavern/bar/pub serving @2 to audience/patrons @3.,,,,,,,,,,① .i ko jo'u mi bu'u lo barja cu pinxe · 一緒に酒場で飲もう [jbovlaste:ja:barja],,,,バー邪魔,,,,,,,
barna,TRUE,,@1は@3〈素材〉でできた@2にあるマーク［印、斑点、染み］,マーク、印、斑点、染み,@1(s) is a/are mark(s)/spot(s) on @2 of material @3.,,,,,,,-ba'a-,,［様式を伴うものは ba'armo'a。］「ko catke lo xunre barna／赤い印を押してください」,,,,,,,,,,,,
bartu,TRUE,,@1は@2の外［外部、外側］,外、外部、外側,@1 is on the outside of @2; @1 is exterior to @2.,,,,,,,-bar-,,「lo bartu be lo zdani cu lenku／家の外は寒い（＝ lenku ne'inai lo zdani ）」,,,,,,,DD,,,,,
basfa,FALSE,,@1は@2を運ぶための@3〈媒体〉で@4によって推進されるバス［乗合自動車］,バス、乗合自動車,@1 is an omnibus for carrying @2 in medium @3 propelled by @4.,,,,,,,,,"Cf. {sorprekarce}; {pavloibasfa} for single-decker, {relyloibasfa} for double-decker {jonbasfa} for articulated, {clajonbasfa} for bi-articulated, {dizbasfa} for low-floor, {drucaubasfa} for open top, {kumbasfa} for coach, {dicybasfa} for trolleybus.",,,,,,,,,,,,
basna,TRUE,,@1は@2〈対象〉を@3で強調する,強調,@1 emphasizes/accentuates/gives emphasis/stress/accent to @2 by (action) @3.,,,,,,,,,「ko sepi'o lo kalkrecinta cu basna lo kanla be do／マスカラで目元を強調してください」 ,,,,,,,,,,,,
basti,TRUE,,@1は@2〈対象〉と@3〈状況〉において交替する；@1は@2〈対象〉の代理をする；@1は代理；@2を@1に置き換える［置換する］,交代、代理,@1 replaces/substitutes for/instead of @2 in circumstance @3; @1 is a replacement/substitute.,,,,,,,-bas-,,"元々あるのが x2 で、これと置き換わるのがx1 「.e'u ra citka lo brioco sei basti be lo nanba noi na zvati／パンが無ければブリオッシュを食べればいいじゃない」 (Jean-Jacques Rousseau: Les Confessions, Livre VI; 試験的 cmavo の ko'oi の例文も参照) ",,,,,,,,,,,,
batci,TRUE,,@1は@2〈対象本体〉の@3〈対象箇所〉を@4で噛む,噛む,@1 bites/pinches @2 on/at specific locus @3 with @4.,,,,,,,-bat-,,「lo te batci be fa lo since co'a punli／蛇に噛まれたところが腫れてきた」 ,,,,,,,,,,,,
batke,TRUE,,@1は@2〈本体・機材〉@3〈用途〉@4〈素材〉のボタン［ノブ、スイッチ、つまみ、取っ手］,ボタン、ノブ、スイッチ、つまみ、取っ手,"@1 is a button/knob/[handle] on/for item @2, with purpose @3, made of material @4.",,,,,,,,,,,,,,,,,,,,,
bavmi,TRUE,生物、植物,@1は@2〈品種〉のオオムギ属の粒,オオムギ、大麦,@1 is a quantity of barley [grain] of species/strain @2.,,,,,,,,,,,,,,場でヴォミット,2,DD,もの,もの,-,-,-
baxso,TRUE,地域,@1は@2《属性》に関してマレー・インドネシア的［らしい、っぽい、風］；@1は@2《属性》に関してマレー・インドネシア系の言語［文化、民族、国民性、地理など］を反映している、満たしている,マレー、インドネシア,@1 reflects Malay-Indonesian common language/culture in aspect @2.,,,,,,,,,,,,,,,,DC,D,C,-,-,-
bebna,TRUE,,@1は@2《属性》に関して愚かである、ばかげている、思慮が無い；@1は阿呆［馬鹿、アホ、バカ］である,愚か、馬鹿げている、阿呆、馬鹿,@1 is foolish/silly in event/action/property [folly] (ka) @2; @1 is a boob.,,,,,,,-beb-,,「fi lo sevzi ka bebna cu klaku je klaku .ei／自分の愚劣に泣け、泣け」（山頭火『行乞記（二）』） ,,,,,,,DC,もの,属性,-,-,-
bekpi,FALSE,,"@1is the 'back', dorsum of body@2",,"@1 is the 'back', dorsum of body @2 ",,,,,,,,,"Opposite of ventral part of the body. Not necessarily should be a posterior part of the body. Determined by bilateral symmetry of the body. See also {vente}, {trixe}, {cutne}.",,,,,,,,,,,,
bemro,TRUE,地域,@1は@2《属性》に関して北アメリカ［北米］的［らしい、っぽい、風］；@1は@2《属性》に関して北アメリカ［北米］の言語［文化、民族、国民性、地理など］を反映している、満たしている,北アメリカ、北米,@1 reflects North American culture/nationality/geography in aspect @2.,,,,,,,-bem-   ,-be'o-,,,,,,,,DC,D,C,-,-,-
bende,TRUE,,@1は@2〈者達〉@3〈引率者〉からなる@4〈目的〉のための仲間［チーム、乗組員、バンド、班］,仲間、チーム、乗組員、バンド、班,@1 is a crew/team/gang/squad/band of persons @2 directed/led by @3 organized for purpose @4.,,,,,,,-bed-   ,-be'e-,,,,,,,,,,,,,
bengo,TRUE,地域,@1は@2《属性》に関してベンガル［バングラデシュ］的［らしい、っぽい、風］；@1は@2《属性》に関してベンガル［バングラデシュ］の言語［文化、民族、国民性、地理など］を反映している、満たしている,ベンガル、バングラデシュ,@1 reflects Bengali/Bangladesh culture/nationality/language in aspect @2.,,,,,,,-beg-,,,,,,,,,DC,D,C,-,-,-
benji,TRUE,,@1は@2を@3〈受け手〉に@4〈起源・送信元〉から@5〈方法・媒体〉によって送る［届ける］,送る、届ける,@1 transfers/sends/transmits @2 to receiver @3 from transmitter/origin @4 via means/medium @5.,,,,,,,-bej-   ,-be'i-,［起源からの完全な断絶は含意されず、 x2 の共有状態がありえる。］ ,,,,,,,,,,,,
benre,FALSE,,@1は@2《こと》の@3を意図された受益者；@1は@2《こと》を@3のためにされる；@1に対して@2《こと》が行われる,受益者,"@1 is the ""beneficiary""/intended-recipient of @2 (event/action), as intended by @3 // @2 is done for @1",受益者,,,,,,,,ここでいう「受益者」とは、何かがなされる対象であり、この関係は有益な場合もあれば不利益な場合もあります。例えば、「私は彼のためにケーキを作った」は彼にとって有益な例で、「私は彼のために毒入りケーキを作った」は彼にとって不利益な例です。「彼が食べるため」であることが目的［目標］になると考えるといいかもしれません。,,,,,,,,,,,,
benzo,FALSE,,@1は@2〈種類〉の芳香族化合物,芳香族化合物,@1 is an aromatic chemical of type @2.,芳香族化合物,,,,,,,,,,,,,,,,,,,,
bergu,FALSE,,@1pertains to bear goo metaphysics in aspect x/2,,@1 pertains to bear goo metaphysics in aspect @2,,,,,,,,,,,,,,,,,,,,,
bersa,TRUE,,@1は@2〈親〉の息子,息子,@1 is a son of mother/father/parents @2 [not necessarily biological].,息子,親、保護者,,,,,-bes-   ,-be'a-,実の／生物学的な息子に限らない。 ,,,,,,,,,,,,
berti,TRUE,位置関係、方角、方向,@1は@2に対して@3から見ると北方［北側］にある［いる］,北、N,@1 is to the north/northern side [right-hand-rule pole] of @2 according to frame of reference @3.,,,,,,,-ber-,,,,,,," bei(北), north ",,DDD,もの,もの,もの,-,-
besna,TRUE,身体、部位,@1は@2〈本体〉の脳である,脳,"@1 is a/the brain [body-part] of @2; [metaphor: intelligence, mental control].",,,,,,,-ben-,,,,,,,別荘ない,,DD,もの,もの,-,-,-
besto,FALSE,,@45が原因で@43がギスムベストを使用していることに気づいている@42からはリモートでも面白いとは見なされず@41の意見で@40について述べている事実で@39には喜ばれることを願い@38〈ジョーク〉よりも愚かではないがこれが極端に長くて愚かなジョークではなく@37〈ジョーク〉より長く実際に@36［≜@7］をbestoプレース@35［≜1］から使用するという@34〈事実〉にもかかわらず認識論スムティ（@29）は@33〈認識論〉によって@32〈ギスム〉で使用され@31〈ランオンセンテンス〉によって定義された場所構造を持っていることを@30〈ギスム〉［≜besto］が両方知っているため@29〈認識論のスムティ〉を投げ入れているように感じ@28〈理由〉のために@27［≜du］と同じくらい多くの場所があることを望み@26〈基準〉で楽しいため@25〈より良い判断〉に対して提案している@24〈者〉の@23〈退屈〉のために皮肉なことに示唆されたことに気付かない@22〈理由〉で@21〈理由〉のために「besto」という言葉を聞いたことがないことを願い@20〈基準〉で使いやすくするためにあまりにも多くの@19〈シマヴォ〉［≜zi'o］を使用し@18〈場所構造〉を持つ@17〈ブリブラ〉を作成し@16〈ブリブラ・メーカー〉の@15〈サディスティックな気まぐれ〉のために場所が多すぎる@14〈位置構造〉を持った@13〈ブリブラ〉［≜besto］の@12〈場所〉を簡潔に表現するために@11〈セルマホ〉［≜SE］を拡張させたい著者が@10〈メール〉に応答して投稿された投稿が@9〈メーリングリスト〉［≜jboste］のすべてではなく@8に送信されることを意図していたことに気づかず@7〈理由〉で@6〈投稿〉に反対する@5〈者〉の@4〈題目〉の@3〈炎〉から防ぐために@1は@2〈比喩的なアスベスト防護服〉を着る,,"@1 dons metaphorical asbestos suit @2 to guard against flames @3 on topic @4 from @5, who disagrees with post @6 for reason @7, not realizing that the post was meant to be sent to @8 rather than all of mailing list @9 (default jboste) where it was posted in response to email  @10, whose author wishes selma'o  @11 (default SE) were extended to concisely express place  @12 of brivla  @13 (default besto) which has place structure  @14 and too many places because of sadistic whim  @15 of brivla-maker  @16, who also created brivla  @17 which has place structure  @18, and so winds up using too many of cmavo  @19 (default zi'o) in order to make the brivla ( @13) more usable by standard  @20 and wishes they had never heard of the word besto for reason  @21, not realizing for reason  @22 that it was suggested sarcastically due to boredom  @23 of person  @24, who is proposing it against better judgement  @25 because it is fun by standard  @26, but still wishes it had as many places as  @27 (default du) for reason  @28, and feels like throwing in epistemology sumti  @29, because he/she knows both that gismu  @30 (default besto) has its place structure defined by run-on sentence  @31 and that epistemology sumti are used in gismu  @32 by epistemology  @33, notwithstanding the fact that  @34 actually has a use for besto places  @35 (default 1) through  @36 (default x7) and wishes this weren't an extremely long and stupid joke, longer than joke  @37 and stupider than joke  @38 but still appreciated by  @39 - a fact which says  @40 about them in the opinion of  @41 - but not seen as even remotely amusing by  @42, who is aware that  @43 has a use for the gismu besto because of  @45",,,,,,,,,A joke gismu from http://mw.lojban.org/index.php?title=besto . Place x/44 is absent for some reason,,,,,,,,,,,,
betfu,TRUE,身体、部位,@1は@2〈本体〉の腹［胴部］である,腹、胴部,@1 is a/the abdomen/belly/lower trunk [body-part] of @2; [metaphor: midsection].,,,,,,,-bef-   ,-be'u-,,,,,,別の腹部,,DD,もの,もの,-,-,-
betri,TRUE,,@1は@2にとって悲劇［災難、惨事］である,悲劇、災難、惨事,@1 is a tragedy/disaster/tragic for @2.,,,,,,,-bet-,,,,,,,,,,,,,,
bevri,TRUE,,@1は@2〈荷物〉を@3〈終点〉に@4〈始点〉から@5〈道筋〉を通って運ぶ,運ぶ,@1 carries/hauls/bears/transports cargo @2 to @3 from @4 over path @5; @1 is a carrier/[porter].,,,,,,,-bev-   ,-bei-,「benji」と違い、 x2 はx4から断絶している。 ,,,,,,,,,,,,
bidju,TRUE,,@1は@2〈素材〉の数珠［ビーズ］,数珠、ビーズ,@1 is a bead/pebble [shape/form] of material @2.,,,,,,,,,,,,,,,,,,,,,
bifce,TRUE,生物、動物,@1は@2〈種類〉のハチ目の昆虫である,ハチ、ハチ目、蜂、🐝,@1 is a bee/wasp/hornet of species/breed @2.,,,,,,,-bic-,,,,,,,,2,DD,もの,もの,-,-,-
bikla,TRUE,,@1はビュッと動く［パチッとする］,ビュッ、パチッ、鞭、疾走、激動,@1 whips/lashes/snaps [a sudden violent motion].,,,,,,,-bik-,,鞭の動き、泡立て器の動きなど、急激な動きを表します。,,,,,びっくりライオン,,D,もの,-,-,-,-
bilga,TRUE,,@1は@2〈行為〉《こと・属性》を@3〈協定・契約・常識〉のために遂行する義務を負っている； @1は@2《こと》をしなければならない；@1は@2《属性》でなければならない,しなければならない、義務,@1 is bound/obliged to/has the duty to do/be @2 in/by standard/agreement @3; @1 must do @2.,,,,,,,-big-,,,,,,,,,,,,,,
bilma,TRUE,,@1は@2〈症状〉の@3〈病〉を患う,患う、罹患、疾患、病気,@1 is ill/sick/diseased with symptoms @2 from disease @3.,病人,症状,,,,,-bi'a-,,「risna terbi'a／心臓病」「sudga selbi'a／脱水症」 ,,,,,,,,,,,,
bilni,TRUE,,@1は@2〈体系〉@3〈目的〉のために訓練されている編制組織である,特殊部隊、組織,@1 is military/regimented/is strongly organized/prepared by system @2 for purpose @3.,,,,,,,-bil-,,「jenmi」は狭義的に「軍」を表すのにたいし、「bilni」は特定の困難／問題に効果的に対処できるよう厳格に訓練／編制されている組織全般を表す。よって「軍」よりも範囲が広い。 ,,,,,,,,,,,,
bindo,TRUE,地域,@1は@2《属性》に関してインドネシア的［らしい、っぽい、風］；@1は@2《属性》に関してインドネシア系の言語［文化、民族、国民性、地理など］を反映している、満たしている,インドネシア,@1 reflects Indonesian culture/nationality/language in aspect @2.,,,,,,,-bid-,,,,,,,,,DC,D,C,-,-,-
binra,TRUE,,@1は@2〈人〉を@3〈危険・損害〉にたいして@4〈特典〉で保証［保障、補償］する,保証、保障、補償,@1 insures/indemnifies @2 (person) against peril @3 (event) providing benefit(s) @4 (event).,,,,,,,,,「保険」も。 ,,,,,,,,,,,,
binxo,TRUE,,@1は@2に@3〈条件〉の下で成る［変身する］,変身,@1 becomes/changes/converts/transforms into @2 under conditions @3.,,,,,,,-bix-   ,-bi'o-,「.ei binxo lo ka'e frili pilno be lo ka stace .e lo ka lazni／正直と横着とが自由自在に使へるやうにならなければならない」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
birje,TRUE,,@1は@2〈起源〉の発泡酒［ビール、エール］,発泡酒、ビール、エール,@1 is made of/contains/is a amount of beer/ale/brew brewed from @2.,発泡酒、ビール、エール,,,,,,,,,,,,,,,,,,,,
birka,TRUE,身体、部位,@1は@2〈本体〉の腕である,腕,@1 is a/the arm [body-part] of @2; [metaphor: branch with strength].,腕,,,,,,-bir-,,,,,,,ビールかかえる,,DD,もの,もの,-,-,-
birti,TRUE,,@1は@2《命題》が真であると確信している,確信,@1 is certain/sure/positive/convinced that @2 is true.,,,,,,,-bit-,,,,,,,,,,,,,,
bisli,TRUE,,@1は@2〈成分〉の氷［氷結物］,氷、氷結物,@1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material @2.,氷、氷結物,,,,,,-bis-,,,,,,,,,,,,,,
bitmu,TRUE,,@1は@2と@3を隔てる@4〈構造体〉の壁［垣、塀、フェンス］,壁、垣、塀、フェンス,@1 is a wall/fence separating @2 and @3 (unordered) of/in structure @4.,壁、垣、塀、フェンス,,,,,,-bim-   ,-bi'u-,,,,,,,,,,,,,
bitni,FALSE,,"@1is measured in@2(number, default 1) bits/shannons (unit of data/information) of logarithmic base@3(default 2)",,"@1 is measured in @2 (number, default 1) bits/shannons (unit of data/information) of logarithmic base @3 (default 2)",,,,,,,,,"See {skami}, {datni}, {bitnymei}, {baitni} // Decimal prefixed forms (powers of 1000): {ki'orbitni} {megbitni} {gigbitni} {tetybitni} {petybitni} {xexybitni} {zepybitni} {gotybitni} // Binary prefixed forms (powers of 1024): {kirbibitni} {merbibitni} {girbibitni} {terbibitni} {perbibitni} {xerbibitni} {zerbibitni} {gorbibitni} //@3is for defining units with bases other than 2, e.g. trits ({bitnrci}), nats ({bitnrte'o}), dits/bans/hartleys ({bitnrdau})",,,,,,,,,,,,
blabi,TRUE,色,@1は白色である、白い,白色、白い,@1 is white/very-light colored [color adjective].,白色、白い,,,,,,-lab-,,,,,,,,skari,D,もの,-,-,-,-
blaci,TRUE,,@1は@2〈成分〉のガラス,ガラス,@1 is a quantity of/is made of/contains glass of composition including @2.,ガラス,,,,,,,,,,kabri,,,,,,,,,,
blanu,TRUE,色,@1は青色である、青い,青色、青い,@1 is blue [color adjective].,青色、青い,,,,,,-bla-,,,,,,,,skari,D,もの,-,-,-,-
bliku,TRUE,もの、@2が素材,@1は@2〈素材〉の立体物［塊、ブロック］,立体物、塊、ブロック,"@1 is a block [3-dimensional shape/form] of material @2, surfaces/sides @3.",,,,,,,-bli-,,,,,,,,,DD,もの,もの,-,-,-
bloti,TRUE,,@1は@2を運ぶための@3〈原動力〉の船［ボート］である,船、ボート,"@1 is a boat/ship/vessel [vehicle] for carrying @2, propelled by @3.",船、ボート,,,,,,-lot-   ,-blo-   ,,,,,,,,,,,,,
bolci,TRUE,もの、@2が素材,@1は@2〈素材〉の球体［ボール］；@1は丸い,球、球体、ボール、丸い,@1 is a ball/sphere/orb/globe [shape/form] of material @2; @1 is a spherical object [made of @2].,,,,,,,-bol-   ,-boi-,,,,,,,,DD,もの,もの,-,-,-
bongu,TRUE,,@1は@2〈機能〉@3（肉体）の骨,骨,"@1 is a/the bone/ivory [body-part], performing function @2 in body of @3; [metaphor: calcium].",骨,,,,,,-bog-   ,-bo'u-,,,,,,,,,,,,,
boske,FALSE,,@1is a forest of components x/2,森,@1 is a forest of components @2,,,,,,,,,,,,,,,,,,,,,
botpi,TRUE,,@1は@2〈内容〉@3〈素材〉@4〈栓・蓋〉の瓶［ボトル、水筒］,瓶、ボトル、水筒,"@1 is a bottle/jar/urn/flask/closable container for @2, made of material @3 with lid @4.",,,,,,,-bot-   ,-bo'i-,閉じられる容器全般。 ,,,,,,,DDDD,,,,,
boxfo,TRUE,,@1は@2〈材質〉のシート状のもの；3次元空間内の、ほぼ2次元の柔軟な物体；枚,シート,@1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material @2.,シート、紙、箔、敷物、毛布、アルミホイル、サランラップ,,,,,,-bof-   ,-bo'o-,的確な日本語訳は存在しません。「枚」で数えられる形状のもの。「紙」「箔」「敷物」「毛布」「アルミホイル」「サランラップ」などの上位概念です。,,,,,坊主の不法,,,,,,,
boxna,TRUE,,@1は@2〈媒体〉@3〈波形〉@4〈波長〉@5〈周波数〉の波［周期的形態］である,波,"@1 is a wave [periodic pattern] in medium @2, wave-form @3, wave-length @4, frequency @5.",,,,,,,-bon-   ,-bo'a-,海の波も。 ,,,,,,,,,,,,
