セルマホ,cmavo,種類,タグ,機能語,キーワード,原文,rafsi,rafsi2,語法,文法,使用例,語源,ロジバンたんのメモ,覚え方
不明,mei'e,非標準,,"Accepts any number of sumti and turns them into a selbri-unit that means ""x_1 is among the referents of these sumti"".",,"Accepts any number of sumti and turns them into a selbri-unit that means ""x_1 is among the referents of these sumti"".",,,"See {me}, {menre}, {cmima}. Elidable terminator: {mei'o}",,,,,
不明,memimoi,複合cmavo,,x_1 is mine among x_2 by rule/relationship x_3; x_1 is my x_2 by rule/relationship x_3.,,x_1 is mine among x_2 by rule/relationship x_3; x_1 is my x_2 by rule/relationship x_3.,,,,,,,,
不明,na'au,非標準,,converts an unevaluated mekso expression into a sumti referencing its evaluated result (if sensible/defined),,converts an unevaluated mekso expression into a sumti referencing its evaluated result (if sensible/defined),,,"For example, would be prefixed to {ke'a} in {xe'au}-NOIhA clauses in order to reference the bracketed (unevaluated, formal) subexpression's evaluated result. In some sense, this word plays inverse of/to {me'o}, but may see less general use since expressions are typically evaluated at the end of mekso utterances. (Thus, this word may find its greatest amount of usage within mekso expressions before they are concluded and evaluated.)",,,,,
不明,ni bu,字詞,,the last sumti having a {ni}-abstraction at its topmost level inside,,the last sumti having a {ni}-abstraction at its topmost level inside,,,"See also {ka bu}, {nu bu}, {du'u bu}",,,,,
不明,si'oi'e,非標準,,"mekso unary operator: the result of the logistic function applied to/at a; 1/(1+\\operatorname {e}^(-a)), where \\operatorname {e} is the natural base",,"mekso unary operator: the result of the logistic function applied to/at a; 1/(1+\\operatorname {e}^(-a)), where \\operatorname {e} is the natural base",,,,,,,,
不明,ta'ai,非標準,,"pro-bridi: Quotes a single Lojban word, and turns it into the bridi, ""x_1 is the same word-shape as the quoted word""",,"pro-bridi: Quotes a single Lojban word, and turns it into the bridi, ""x_1 is the same word-shape as the quoted word""",,,See {vlatai}.,,,,,
不明,ta'iroda,複合cmavo,,"anyway, under any method",,"anyway, under any method",,,,,,,,
不明,te'au,非標準,,"iterated Cartesian product with self: A × A × ... × A, n times.",,"iterated Cartesian product with self: A × A × ... × A, n times.",,,"Probably belongs to selma'o VUhU but, since it is iterated JOI, there is the case for that. First argument A is a set or similar object; second argument n is a nonnegative integer; the result is the cross-product of A with itself n times. Used as a shortcut for longer, arguably more preferable, constructions so that one can more closely say ""R three"" and mean R^3. Emphatically not equivalent to exponentiation; it only works on sets and similar objects. See also: {te'a}, {pi'u}, {se'au}.",,,,,
不明,te'oi'i,非標準,,"mekso n-ary operator: tensor product/exterior product; letting ""¤"" denote the tensor product, A_1 ¤ A_2 ¤...¤ A_{n} .",,"mekso n-ary operator: tensor product/exterior product; letting ""¤"" denote the tensor product, A_1 ¤ A_2 ¤...¤ A_{n} .",,,"Frequently denoted by a circled saltire. For all i, A_i must be a tensor.",,,,,
不明,uei'e,非標準,,attitudinal: excited encouragement,,attitudinal: excited encouragement,,,"Used to show excited encouragement, e.g. ""Let's play!"". = {ue'i} + {e'e}. See {fizbu}, {talsa}",,,,,
不明,zu'oini'u,複合cmavo,,yesterday,,yesterday,,,,,,,,
不明,zu'oino,複合cmavo,,today,,today,,,,,,,,
不明,zu'oipa,複合cmavo,,tomorrow,,tomorrow,,,,,,,,
A,a,標準,接続詞、論理和,〚KOhA .a KOhE〛KOhAや［または］KOhE、KOhAとKOhEはどちらかまたはどちらも真,～や～、～または～、OR、論理和、項論理和,logical connective: sumti afterthought or.,,,使用例①の文はリンゴとバナナを両方とも食べる場合があることに注意。,,① .i lo plise .a lo badna cu se citka fa'o リンゴやバナナを食べる,,,
A,e,標準,接続詞、論理積,〚KOhA .e KOhE〛KOhAと［かつ］KOhE、KOhAとKOhEはどちらも真,～と～、～かつ～、AND、論理積、項論理積,logical connective: sumti afterthought and.,,,「ko seka'a selkansa lo mapku .e lo pinxe djacu／帽子と飲み水を持参してください」 ・読み方： エ,,,,,
A,ji,標準,接続詞、接続詞質問、疑問文,〚KOhA ji KOhE〛KOhAとKOhEの論理関係を問う,,logical connective: sumti afterthought connective question.,,,,,,,,
A,o,標準,接続詞、否定排他的論理和,〚KOhA .o KOhE〛KOhAとKOhEは同値、KOhAとKOhEはどちらも真かまたはどちらも偽,XNOR、iff、同値、否定排他的論理和,logical connective: sumti afterthought biconditional/iff/if-and-only-if.,,,,,,,,
A,u,標準,接続詞,〚KOhA .u KOhE〛KOhEにかかわらずKOhA,～にかかわらず～,logical connective: sumti afterthought whether-or-not.,,,,,,,,
A*,enai,複合cmavo,接続詞,〚KOhA .enai KOhE〛KOhAではってKOhEでない,～であって～でない,logical connective: sumti afterthought x but not y.,,,「lo'e spencida cu zvati lo dzipo .enai lo tolzi'o／ペンギンは南極に居るが北極には居ない」 ・読み方： エナイ,,,,,
A*,na a,複合cmavo,接続詞,〚KOhA na .a KOhE〛KOhAならKOhE,～なら～、～ならば～,logical connective: sumti afterthought conditional/only if.,,,・読み方： ナア,,,,,
A*,onai,複合cmavo,接続詞,〚KOhA .onai KOhE〛KOhAかKOhEのどちらか一方,XOR、排他的論理和,logical connective: sumti afterthought exclusive or; Latin 'aut'.,,,・読み方： オナイ,,,,,
BAhE,ba'e,標準,,右の単語を強調する,強調,forethought emphasis indicator; indicates next word is especially emphasized.,,,・読み方： バヘ,,,,,
BAhE,za'e,標準,,右の単語が臨時に造られたものであること、非公式・非標準かもしれないことを示す,臨時語造成,forethought nonce-word indicator; indicates next word is nonce-creation and may be nonstandard.,,,・読み方： ザヘ,,,,,
BAhE,zai'e,非標準,,jargon word indicator; indicates next word is a jargon word,,jargon word indicator; indicates next word is a jargon word,,,"Jargon words are to have a single, defined, specialized meaning within one particular narrow context (e.g. a game, field of study, or industry), but may also be assigned to other meanings in other contexts. // Proposed rafsi: -zam-. Afterthought variant: {zi'ai}  // Jargonic context, if needed, may be explicated using tanru, including with {bo'ei} / {me} {la}...{ku} clauses, or even defined with a specific meaning using the assigned rafsi e.g. {samyzamsmacu} or {gugyl zei zamgri}",,,,,
BAhEI,ba'ei,非標準,,"forethought emphasis indicator; indicates next WORD only, even if that word is a construct-indicating cmavo",,"forethought emphasis indicator; indicates next WORD only, even if that word is a construct-indicating cmavo",,,"According to CLL 19.11, regular {ba'e} doesnt always emphasize just one word. If it is placed in front of a construct (e.g. {la}), it emphasizes the entire construct. {ba'ei} was designed especially for these cases.",,,,,
BAI,bai,標準,法制詞,〚bai KOhA〛KOhAに強いられて；〚bai BRODA〛何［誰］かに強いられてBRODAする［である］,～に強いられて,"bapli modal, 1st place (forced by)                forcedly; compelled by force ...",,,,,,bapli@1,,
BAI,ba'i,標準,法制詞,〚ba'i KOhA〛KOhAが代わりとなって；〚bai BRODA〛何［誰］かが代わりとなってBRODAする［である］,～が代わりとなって,"basti modal, 1st place                            replaced by ...",,,,,,basti@1,,
BAI,bau,標準,法制詞,〚bau KOhA〛KOhA語で；〚bau BRODA〛何らかの言語でBRODAする［である］,～語で,"bangu modal, 1st place                            in language ...",,,,,,bangu@1,,
BAI,be'ei,非標準,法制詞,〚be'ei KOhA〛KOhA〈受益者〉のために；〚be'ei BRODA〛受益者のためにBRODAする［である］,～のために,"benre modal, 1st place for beneficiary...",,,"See {benre}, {seva'u}, {tezu'e}, {ko'au}",,,benre@1,,
BAI,be'i,標準,法制詞,〚be'i KOhA〛KOhAから送られて；〚be'i BRODA〛誰かから送られてBRODAする［である］,～から送られて,"benji modal, 1st place (sender)                   sent by ...",,,,,,benji@1,,
BAI,ca'i,標準,法制詞,〚ca'i KOhA〛KOhAの権限で；〚ca'i BRODA〛誰かの権限でBRODAする［である］,～の権限で,"catni modal, 1st place                            by authority of ...",,,,,,catni@1,,
BAI,cau,標準,法制詞,〚cau KOhA〛KOhAが欠いて；〚cau BRODA〛何［誰］かが欠いてBRODAする［である］,～が欠いて,"claxu modal, 1st place                            lacked by ...",,,何かを欠いているもの［こと］のことです。,,,claxu@1,,
BAI,ci'e,標準,法制詞,〚ci'e KOhA〛KOhAを体系として；〚ci'e BRODA〛何かを体系としてBRODAする［である］,～を体系として,"ciste modal, 1st place used in scalar negation    in system/context ...",,,,,,ciste@1,,
BAI,ci'o,標準,法制詞,〚ci'o KOhA〛KOhAが感じて；〚ci'o BRODA〛何［誰］かが感じてBRODAする［である］,～が感じて,"cinmo modal, 1st place                            emotionally felt by ...",,,,,,cinmo@1,,
BAI,ci'u,標準,法制詞,〚ci'u KOhA〛KOhAを尺度として；〚ci'u BRODA〛何かを尺度としてBRODAする［である］,～を尺度として,"ckilu modal, 1st place                            on the scale ...",,,,,,ckilu@1,,
BAI,cu'u,標準,法制詞,〚cu'u KOhA〛KOhAが言って；〚cu'u BRODA〛何［誰］かが言ってBRODAする［である］,～が言って,"cusku modal, 1st place (attribution/quotation)    as said by source ...; used for quotation.",,,,,,cusku@1,,
BAI,de'i,標準,法制詞,〚cau KOhA〛KOhA日に；〚cau BRODA〛何日かにBRODAする［である］,～日に,"detri modal, 1st place (for letters)              dated ... ; attaches date stamp.",,,,,,detri@1,,
BAI,de'i'a,非標準,法制詞,〚de'i'a KOhA〛KOhA世紀に,～世紀に,in the Nth century.,,,"{na'arctodetri} modal. ex.) lo ratni jbama cu co'a zvati lo terdi de'i'a li reno (The atomic bomb has been on the Earth since the 20th century.) See also {de'i}; {de'i'e}, {de'i'i}, {de'i'o}, {de'i'u}.",,,,,
BAI,de'i'e,非標準,法制詞,〚de'i'e KOhA〛KOhA年に,～年に,in the year N.,,,"{na'ardetri} modal. ex.) la berlin.bitm cu porpi de'i'e li pasobiso (The Berlin Wall was broken in 1989.) See also {de'i}; {de'i'a}, {de'i'i}, {de'i'o}, {de'i'u}.",,,,,
BAI,de'i'i,非標準,法制詞,〚de'i'i KOhA〛KOhA月に,～月に,in the Nth month.,,,"{ma'irdetri} modal. ex.) lo ckule cu de'a gubni de'i'i li bi (The school is closed in August.) See also {de'i}; {de'i'a}, {de'i'e}, {de'i'o}, {de'i'u}.",,,,,
BAI,de'i'o,非標準,法制詞,〚de'i'o KOhA〛KOhA日に,～日に,on the Nth day of the month.,,,"{ma'irdeidetri} modal. ex.) mi cliva lo gugde de'i'o li cino (I will leave the country on the 30th.) See also {de'i}; {de'i'a}, {de'i'e}, {de'i'i}, {de'i'u}.",,,,,
BAI,de'i'u,非標準,法制詞,〚de'i'u KOhA〛週のKOhA番目の日に,～曜日に,on the Nth day of the week.,,,"{jefydeidetri} modal. ex.) lo karni cu co'a gubni de'i'u li ci (The journal is published on Wednesday.) See also {de'i}; {de'i'a}, {de'i'e}, {de'i'i}, {de'i'o}.",,,,,
BAI,di'o,標準,法制詞,"〚di'o KOhA〛di'oを局所的なものとして ： diklo 法制詞, x_1",～を局所的なものとして,"diklo modal, 1st place                            in the location of ...",,,,,,,,
BAI,do'e,標準,法制詞,不特定法制、不特定の法制,不特定法制,elliptical/unspecified modal.,,,,,,,,
BAI,du'i,標準,法制詞,〚du'i KOhA〛KOhAが同じくらい；〚du'i BRODA〛何かが同じくらいでBRODAする［である］,～が同じくらい,"dunli modal, 1st place (equalled by)              equally; as much as ...",,,,,,dunli@1,,
BAI,du'o,標準,法制詞,〚du'o KOhA〛KOhAによると；〚du'o BRODA〛誰かによるとBRODAする［である］,～によると,"djuno modal, 1st place (info source)            authoritatively; according to ...; known by ...",,,,,,djuno@1,,
BAI,fa'e,標準,法制詞,〚fa'e KOhA〛KOhAが逆で；〚fa'e BRODA〛何かが逆でBRODAする［である］,～が逆で,"fatne modal, 1st place                            backwards; reverse of ...",,,,,,fatne@1,,
BAI,fau,標準,法制詞,〚fau KOhA〛KOhAということと共に［を］して；〚fau BRODA〛何かと共にBRODAする［である］,～ということと共に［を］して,"fasnu modal, 1st place (non-causal)               in the event of ...",,,,,,fatne@1,,
BAI,fi'e,標準,法制詞,〚fi'e KOhA〛KOhAが創って；〚fi'e BRODA〛誰かが創ってBRODAする［である］,～が創って,"finti modal, 1st place (creator)                  created by ...",,,,,,fasnu@1,,
BAI,ga'a,標準,法制詞,〚ga'a KOhA〛KOhAから観て［を観察者として］；〚ga'a BRODA〛誰かから観て［を観察者として］にBRODAする［である］,～から観て、～を観察者として,"zgana modal, 1st place                            to observer ... ; witnessed by ...",,,,,,finti@1,,
BAI,gai'i,非標準,法制詞,zgadi/cadga modal; 1st place: with just/expected result ...; should/ought to result in ...,,zgadi/cadga modal; 1st place: with just/expected result ...; should/ought to result in ...,,,Not necessarily causal; may be hypothetical.,,,zgana@1,,
BAI,gau,標準,法制詞,"～（動作者）によって／～がして ： gasnu 法制詞, x_1",,"gasnu modal, 1st place agent/actor case tag       with active agent ...",,,「gau zgitigni .ije sanga／ひかせてうたつてゐる」（山頭火『行乞記（二）』） ・読み方： ガウ,,,,,
BAI,gu'au,非標準,法制詞,non-distributivity tag: as a mass,,non-distributivity tag: as a mass,,,equivalent to {fi'o} {gunma}. {gu'au} {je} {fa} {lo} {tadni} {cu} {sruri} {lo} {dinju} is the same as {loi} {tadni} {cu} {sruri} {lo} {dinju}.,,,,,
BAI,ja'e,標準,法制詞,"～を結果として／～となって ： jalge 法制詞, x_1",,"jalge modal, 1st place                            resultingly; therefore result ...",,,・読み方： ジャヘ,,,,,
BAI,ja'i,標準,法制詞,"～を規則として ： javni 法制詞, x_1",,"javni modal, 1st place (by standard 1)            orderly; by rule ...",,,・読み方： ジャヒ,,,,,
BAI,ji'e,標準,法制詞,～まで（限界） ： 法制詞； jimte の x_1,,"jimte modal, 1st place                            limitedly; up to limit ...",,,・読み方： ジヘ,,,,,
BAI,ji'o,標準,法制詞,～の管轄下で ： 法制詞； jitro の x_1,,"jitro modal, 1st place (control)                  controlledly; under direction of ...",,,・読み方： ジホ,,,,,
BAI,ji'u,標準,法制詞,～を基盤として ： 法制詞； jicmu の x_1,,"jicmu modal, 1st place (assumptions);             given that ...; based on ...",,,・読み方： ジフ,,,,,
BAI,ka'a,標準,法制詞,"～が行って／来て ： klama 法制詞, x_1",,"klama modal, 1st place                            gone to by ...",,,・読み方： カハ,,,,,
BAI,ka'ai,非標準,法制詞,"kansa modal, 1 place; with .../with a companion ...",,"kansa modal, 1 place; with .../with a companion ...",,,See also {kansa},,,,,
BAI,kai,標準,法制詞,"～が象徴して ： ckaji 法制詞, x_1",,"ckaji modal, 1st place                            characterizing ...",,,・読み方： カイ,,,,,
BAI,ka'i,標準,法制詞,"～が代表して ： krati 法制詞, x_1",,"krati modal, 1st place                            represented by ...",,,・読み方： カヒ,,,,,
BAI,ki'i,標準,法制詞,"～と同系で ： ckini 法制詞, x_1",,"ckini modal, 1st place (related to)               relatively; as a relation of ...",,,・読み方： キヒ,,,,,
BAI,ki'oi,非標準,法制詞,"se kibzva modal, 1st place: at website/Internet resource...",,"se kibzva modal, 1st place: at website/Internet resource...",,,"Alternative to the common metaphoric use of {bu'u}. See {kibzva}, {kibystu}, {kibro}",,,,,
BAI,ki'u,標準,法制詞,"～を理由として ： krinu 法制詞, x_1； 「to'e ki'u nai」で「～という理由に妨げられることなく」から「～にも関わらず」",,"krinu modal, 1st place (justified by)             justifiably; because of reason ...",,,・読み方： キフ,,,,,
BAI,ko'au,非標準,法制詞,"kosmu modal, 1st place with purpose...",,"kosmu modal, 1st place with purpose...",,,"See {seko'au}, {kosmu}, {tezu'e}, {tepi'o}, {tefi'e}, {ki'u}",,,,,
BAI,koi,標準,法制詞,"～を境界として ： korbi 法制詞, x_1",,"korbi modal, 1st place (bordered by)              bounded by ...",,,・読み方： コイ,,,,,
BAI,ku'u,標準,法制詞,"～（文化）のもと ： kulnu 法制詞, x_1",,"kulnu modal, 1st place                            in culture ...",,,・読み方： クフ,,,,,
BAI,la'u,標準,法制詞,"～を量として： klani 法制詞, x_1 ；",,"klani modal, 1st place (amount)                   quantifying ...; being a quantity of ...",,,「la'u lo 90 nanca cu mrobi'o／90歳で亡くなる」「la'u lo 3 mei cu korkla／３マス進む」 ・読み方： ルァフ,,,,,
BAI,le'a,標準,法制詞,"～をカテゴリーとして ： klesi 法制詞, x_1；",,"klesi modal, 1st place (scalar set)               in/of category ...",,,「zgipre le'a lo cnino／新しいジャンルの音楽アーティスト」 ・読み方： ルェハ,,,,,
BAI,li'e,標準,法制詞,"～が引率して／に先を越されて ： lidne 法制詞, x_1",,"lidne modal, 1st place                            preceded by ...; non-time sequencing.",,,・読み方： ルィヘ,,,,,
BAI,li'i'e,非標準,法制詞," lisri modal, 1st place: in/belonging to/of/from story...",," lisri modal, 1st place: in/belonging to/of/from story...",,,"Of a character, location, event, etc.; something which exists in the universe of the story.",,,,,
BAI,ma'e,標準,法制詞,"～を物質として ： marji 法制詞, x_1",,"marji modal, 1st place                            material in object/substance ...",,,「lo vinji be ma'i lo linto je jdari／軽量かつ頑丈な素材でできた飛行機」 ・読み方： マヘ,,,,,
BAI,ma'i,標準,法制詞,"～を（思考／行動／事件の）枠組として ： manri 法制詞, x_1",,"manri modal, 1st place (by standard 2)            in reference frame ...",,,「ma'i mi／私的には」「ma'i lo marde／道徳的には」 ・読み方： マヒ,,,,,
BAI,mau,標準,法制詞,"～が勝って（に劣って）／が超えて（に超されて） ： zmadu 法制詞, x_1",,"zmadu modal, 1st place (a greater)                exceeded by ... ; usually a sumti modifier.",,,・読み方： マウ,,,,,
BAI,me'a,標準,法制詞,"～のほうが少なくて（よりも多くて） ： mleca 法制詞, x_1",,"mleca modal, 1st place (a lesser)                 undercut by ... ; usually a sumti modifier.",,,・読み方： メハ,,,,,
BAI,me'e,標準,法制詞,"～という名の ： cmene 法制詞, x_1",,"cmene modal, 1st place (requires quote)           with name ...; so-called ...",,,「lo nanmu be me'e zoi .tanakan.／田中という名の男」 ・読み方： メヘ,,,,,
BAI,mu'ai,非標準,法制詞,munje modal: 1st place; in universe...,,munje modal: 1st place; in universe...,,,"May be {lo} {fatci}, or a universe-of-discourse, real or imagined. See {munje}, {li'i'e}, {xanri}, {da'inri}, {mu'ei}, {enzasti}, {enfasnu}, {va'o}, {ci'e}",,,,,
BAI,mu'i,標準,法制詞,"～が動機となって ： mukti 法制詞, x_1",,"mukti modal, 1st place                            because of motive ...",,,・読み方： ムヒ,,,,,
BAI,mu'u,標準,法制詞,"～を例として ： mupli 法制詞, x_1",,"mupli modal, 1st place                            exemplified by ...",,,「so'i gugde be mu'u lo pongu'e／日本をはじめとする多くの国々」 ・読み方： ムフ,,,,,
BAI,ni'i,標準,法制詞,"～の論理で ： nibli 法制詞, x_1",,"nibli modal, 1st place                            logically; logically because ...",,,・読み方： ニヒ,,,,,
BAI,pa'a,標準,法制詞,"～が並行して／～が共に ： panra 法制詞, x_1",,"panra modal, 1st place (parallel; shared property) similarly; in addition to ...",,,・読み方： パハ,,,,,
BAI,pa'u,標準,法制詞,"～を部分／要素として ： pagbu 法制詞, x_1",,"pagbu modal, 1st place                            having component ...",,,・読み方： パフ,,,,,
BAI,pi'o,標準,法制詞,"～が使って／～を使用者として ： pilno 法制詞, x_1",,"pilno modal, 1st place                            used by ...",,,・読み方： ピホ,,,,,
BAI,po'a,非標準,法制詞,"ponse modal, 1st place: with possessor/owner...",,"ponse modal, 1st place: with possessor/owner...",,,"See {ponse}, {po}",,,,,
BAI,po'i,標準,法制詞,"～を並び方として／配列～を作って ： porsi 法制詞, x_1",,"porsi modal, 1st place (in order)                 sequentially; in the sequence ...",,,・読み方： ポヒ,,,,,
BAI,pu'a,標準,法制詞,"～を楽しんで／～がおもしろくて ： pluka 法制詞, x_1",,"pluka modal, 1st place                            pleased by ...",,,・読み方： プハ,,,,,
BAI,pu'ai,非標準,法制詞,"pluta modal, 1st place: via route...",,"pluta modal, 1st place: via route...",,,"See {pluta}, {veka'a}",,,,,
BAI,pu'e,標準,法制詞,"～を過程／プロセスとして ： pruce 法制詞, x_1",,"pruce modal, 1st place (in manner 1)              by process ...",,,・読み方： プヘ,,,,,
BAI,ra'a,標準,法制詞,"～が関連／関係して／関わって ： srana 法制詞, x_1",,"srana modal, 1st place                            pertained to by ... (generally more specific).",,,・読み方： ラハ,,,,,
BAI,rai,標準,法制詞,"～を最上として／～が最高の ： traji 法制詞, x_1",,"traji modal, 1st place                            with superlative ...",,,・読み方： ライ,,,,,
BAI,ra'i,標準,法制詞,"～を起源として ： krasi 法制詞, x_1",,"krasi modal, 1st place                            from source/origin/starting point ...",,,・読み方： ラヒ,,,,,
BAI,ri'a,標準,法制詞,"～を原因として／～によって ： rinka 法制詞, x_1",,"rinka modal, 1st place (phys./mental)             causal because ...",,,「ri'a lo kamgla cu febvi／熱によって沸騰する」「ri'a zo'e tolmo'i／何かのはずみで忘れる」 ・読み方： リハ,,,,,
BAI,ri'i,標準,法制詞,"～が経験して／～を被験者として ： lifri 法制詞, x_1",,"lifri modal, 1st place patient/passive case tag; happens to...,experienced by...,with passive...",,,・読み方： リヒ,,,,,
BAI,sau,標準,法制詞,"～を必要として／～が必須で ： sarcu 法制詞, x_1",,"sarcu modal, 1st place                            requiring ...",,,・読み方： サウ,,,,,
BAI,sebe'ei,複合cmavo,法制詞,"benre modal, 2nd place, which is the beneficiary of...",,"benre modal, 2nd place, which is the beneficiary of...",,,See {benre}.,,,,,
BAI,si'u,標準,法制詞,"～が助けて／～が補助となって ： sidju 法制詞, x_1",,"sidju modal, 1st place (aiding agent)             aided by ...",,,・読み方： スィフ,,,,,
BAI,tai,標準,法制詞,"～みたいに／～風に ： tamsmi 法制詞, x_1",,"tamsmi modal, 1st place (like)/(in manner 2)      resembling ...; sharing ideal form ...",,,・読み方： タイ,,,,,
BAI,ta'i,標準,法制詞,"～を方法／手段として／～式に ： tadji 法制詞, x_1",,"tadji modal, 1st place (in manner 3)              methodically; by method ...",,,・読み方： タヒ,,,,,
BAI,te'i,非標準,法制詞,at a point on time axis,,at a point on time axis,,,{temjudri} modal. See also {de'i} and {ti'u}. ex.) su'o da nuntumdesku te'i li re no pa mu pi'e mu pi'e ci no pi'e re no pi'e re vo noi sinxa lo mentu ku'o te te'i u'y ty cy xi ma'u so (There was an earthquake at 2015-05-30 20:24 UTC+9.) / su'o da nuntumdesku te'i li re vo mu ze pa ze re pi so ze mu te te'i la juli'us (There was an earthquake at 2457172.975 of Julian date.),,,,,
BAI,ti'i,標準,法制詞,"～が示唆して／勧めて ： stidi 法制詞, x_1",,"stidi modal, 1st place                            suggested by ...; proposed by ...",,,・読み方： ティヒ,,,,,
BAI,ti'u,標準,法制詞,"～を時刻として ： tcika 法制詞, x_1",,"tcika modal, 1st place (for letters)              associated with time ... ; attach time stamp.",,,・読み方： ティフ,,,,,
BAI,ti'u'a,非標準,法制詞,at N o'clock; at the hour N of the day.,,at N o'clock; at the hour N of the day.,,,"{djecacrytcika} modal. ex. lo trene cu cliva ti'u'a li so (The train departs at nine o'clock.) See also {ti'u}; {ti'u'e}, {ti'u'i}.",,,,,
BAI,ti'u'e,非標準,法制詞,at the minute N of the hour.,,at the minute N of the hour.,,,"{cacryme'utcika} modal. ex. mi ti xrukla ti'u'e li ci no (I will be back at thirty minutes past the hour.) See also {ti'u}; {ti'u'a}, {ti'u'i}.",,,,,
BAI,ti'u'i,非標準,法制詞,at the second N of the minute.,,at the second N of the minute.,,,"{metnidytcika} modal. ex. samymri ti mi ti'u'i li vo xa (This was e-mailed to me at 46 seconds past the minute.) See also {ti'u}; {ti'u'a}, {ti'u'e}.",,,,,
BAI,tu'i,標準,法制詞,"～を場所として ： stuzi 法制詞, x_1",,"stuzi modal, 1st place (used to situate letters)  associated with site ... ; label with location.",,,・読み方： トゥヒ,,,,,
BAI,va'o,標準,法制詞,"～を環境／状況として ： vanbi 法制詞, x_1",,"vanbi modal, 1st place (conditions 1)             under conditions ...; in environment ...",,,・読み方： ヴァホ,,,,,
BAI,va'u,標準,法制詞,"～（良い何か）を享受して ： xamgu 法制詞, x_1",,"xamgu modal, 1st place beneficiary case tag complement  benefiting from ...",,,・読み方： ヴァフ,,,,,
BAI,xau,非標準,法制詞,"preposition: marks that which the bridi is beneficial to; for the benefit of..., with beneficiary...",,"preposition: marks that which the bridi is beneficial to; for the benefit of..., with beneficiary...",,,Similar to {seva'u},,,,,
BAI,zau,標準,法制詞,"~に承認されて ： zanru 法制詞, x_1",,"zanru modal, 1st place                            approved by ...",,,・読み方： ザウ,,,,,
